"","Neutrophil"
"AL451139.1",0
"ZNF683",0.0505355002704506
"LIN28A",0
"DHDDS",0.043206218742869
"AL513365.1",0
"AL513365.2",0
"HMGN2",1.02789422921772
"DPPA2P2",0
"RPS6KA1",0
"MIR1976",0
"RN7SL679P",0
"RNU7-29P",0
"AL627313.1",0
"RF01210",0
"AL627082.1",0
"AL512408.1",0.0500925017537848
"ARID1A",1.31682887780846
"PIGV",0.0506617136004472
"RN7SL165P",0
"ZDHHC18",3.20082391134746
"SFN",0.179123966960027
"AL034380.1",0
"GPN2",0
"GPATCH3",0.173987243839728
"NUDC",0.30533421328161
"NR0B2",0
"KDF1",0
"RPL12P13",0
"AL356390.1",0
"OSTCP2",0
"TRNP1",0.0239498632829407
"TENT5B",0
"SLC9A1",0.174704197425046
"AL590640.2",0
"CHCHD3P3",0
"NPM1P39",0
"SNRPEP7",0
"AL590640.1",0
"WDTC1",0.970255009363202
"FO393419.3",0
"TMEM222",0.221943398621098
"RNU6-48P",0
"ACTG1P20",0
"SYTL1",0.633078745401947
"MAP3K6",0.0704057185505342
"FCN3",0
"CD164L2",0
"FO393419.1",0
"GPR3",0.0644508636046852
"WASF2",1.47235609613887
"FO393419.2",0.0928692848099756
"BX293535.1",0
"AHDC1",0.0572752545120276
"FGR",3.13821882832005
"AL031729.1",0.0578232899465692
"LINC02574",0
"IFI6",0.520063186120371
"AL445490.1",0
"RNU6-949P",0
"CHMP1AP1",0
"RNU6-424P",0
"FAM76A",0.0497514674428623
"AL020997.1",0
"RPEP3",0
"STX12",0.172429174168784
"AL020997.2",0.0258746106962374
"AL020997.3",0
"RNU6-1245P",0
"PPP1R8",0.0398902325136936
"SCARNA1",0
"THEMIS2",1.99417110882087
"RPA2",0.841091463993437
"SMPDL3B",0.151237099415435
"AL512288.1",0
"XKR8",0.456310501753625
"EYA3",0.0348858927048469
"AL512288.2",0.0329540036968141
"RN7SL559P",0
"SPCS2P4",0
"AL137792.2",0
"AL137792.1",0
"RNU6-176P",0
"PTAFR",2.32588536805987
"DNAJC8",0.409259410228015
"ATP5IF1",0
"AL353622.1",0
"AL353622.2",0
"SESN2",0
"MED18",0
"PHACTR4",0.42734525696576
"CR391992.1",0
"RNU6ATAC27P",0
"RCC1",0
"SNHG3",0.204279248894637
"SNORA73A",0
"SNORA73B",0
"PRDX3P2",0
"AL513497.1",0
"TRNAU1AP",0.177544863944606
"SNHG12",0
"SNORD99",0
"SNORA61",0
"SNORA44",0
"SNORA16A",0
"TAF12",0.386946247787574
"RAB42",0.0239498632829407
"LINC01715",0
"AL360012.1",0
"RNU11",0
"GMEB1",0.0513475126744148
"RF00422",0
"YTHDF2",0.0917339594149374
"OPRD1",0.0506617136004472
"AL009181.1",0
"EPB41",0.852073401615718
"AL138785.1",0.0261086931382969
"RF00017",0.125551088851029
"TMEM200B",0
"AL357500.1",0
"SRSF4",0.365605574415662
"RF02271",0
"MECR",0.0223226605490003
"AL590729.1",0
"PTPRU",0.0371077285903044
"LINC01756",0
"AL671862.1",0
"AC092265.1",0
"AL645944.2",0
"AL645944.1",0
"LINC01648",0.044067259397249
"AL137076.1",0.0239498632829407
"AL021921.1",0
"AL161638.2",0
"AL161638.1",0
"MATN1",0
"MATN1-AS1",0.0648780842082429
"LAPTM5",5.55146272523866
"MIR4420",0.0396646086616834
"AL137027.1",0
"LINC01778",0
"RN7SKP91",0
"AL445235.1",0
"SDC3",0.0581990087202982
"RN7SL371P",0
"PUM1",0.428275023011142
"AL356320.2",0.046096674149897
"AL356320.1",0
"SELENOWP1",0
"AC114495.1",0
"NKAIN1",0
"SNRNP40",0.0748443919653479
"AC114495.2",0
"ZCCHC17",0.115204715992478
